Institution,Log Number,Fiscal Year,Award,Recipient Type,Program,Program Categories,City,State,Issue Areas,The main body text
Historical Society of Rockland County,IG-00-02-0721-02,2002,"$71,455.00",,General Operating Support,,New City,NY,,
Historical Society of Rockland County,IG-00-00-0441-00,2000,"$53,487.00",,General Operating Support,,New City,NY,,
Oneida Herkimer Madison Board of Cooperative Educational Services,RE-01-05-0077-05,2005,"$184,065.00",,Laura Bush 21st Century Librarian Program,Master's Level Programs,New Hartford,NY,,"The Oneida Herkimer Madison Board of Cooperative Educational Services will collaborate with other boards of cooperative educational services, participating school districts, and the University at Buffalo Department of Library and Information Studies to address needs in Central and Upstate New York for certified library media specialists. The project will recruit nine students who will complete the New York State Education Department-approved library media certification program. The program will combine distance learning and summer campus residency to address barriers created by location. Match $513,448"
"Samuel Dorsky Museum of Art, University of New York",MA-30-13-0458-13,2013,"$49,585.00",,Museums for America,Collections Stewardship,New Paltz,NY,Collections,"The Samuel Dorsky Museum of Art will partner with other members of the Hudson Valley Visual Art Collections Consortium (HVVACC) to conduct planning for a regional visual arts collection study center and storage facility. Planning activities will include hiring a planning consultant; creating a conceptual and financial plan for HVVACC and key programs, including the center; establishing HVVACC as a legal entity; developing a fundraising plan; and producing a detailed guide to organizational development for HVVACC and the center, with a timetable, milestones, and expected outcomes. The project will provide a realistic, actionable roadmap for creating the study center to provide better access to collections; more efficiently use staff resources and funding; streamline collection management; encourage donations of regional art and archival material; better preserve important art objects; and enable area organizations to grow their collections for continued public benefit."
"Daniel Smiley Research Center, Mohonk Preserve",MA-05-12-0332-12,2012,"$18,770.00",,Museums for America,Collections Stewardship,New Paltz,NY,Collections,"Mohonk Preserve will hire a Special Collections Librarian/ Collections Manager to inventory, catalogue, and assess the condition of all the Daniel Smiley Research Center's collections, and unite them into a PastPerfect database. The materials address landscape architecture, horticulture, and natural and cultural history in the northeastern United States and the northern Shawangunk Mountains of New York State. Developed as the result of recommendations made in a 2009 IMLS CAP report, the project will enable staff to gain intellectual control over the collection, provide a learning opportunity for graduate students, and increase accessibility to the collection for researchers, students, and the general public. The inventory will be uploaded to the Southeastern New York Library Resources Council's Koha (web-based integrated library system) Virtual Union Catalog and thus be available online."
State University of New York's  Samuel Dorsky Museum of Art,MA-05-10-0392-10,2010,"$150,000.00",,Museums for America,Collections Stewardship,New Paltz,NY,,"The Samuel Dorsky Museum of Art, a member of the Hudson Valley Visual Arts Consortium, will use its grant to support “Art of the Hudson Valley and Beyond: The Digital Collections of the Hudson Valley Visual Arts Consortium.” An easy-to-search, Web-accessible database will feature images and information for more than 13,000 objects from the collections of the museum and four other Ulster County, New York, visual arts organizations that form the consortium—the Center for Photography at Woodstock, the Woodstock Byrdcliffe Guild, the Woodstock Artists Association and Museum, and the Women's Studio Workshop. The consortium Web site will be hosted by the Southeastern New York Library Resources Council (SENYLRC), which is also located in Ulster County. The Web site will be accessible through its own portal and through a Hudson River Valley Heritage Web site (www.hrvh.org)."
Mohonk Preserve,MA-06-10-0414-10,2010,"$81,497.00",,Museums for America,Building Institutional Capacity,New Paltz,NY,Community,"Mohonk Preserve will begin a two-year planning process aimed at updating and aligning the Preserve's interpretive master plan, operational policies, and facilities plan in response to present day and future realities driven by global climate change, rising energy costs, new technologies, and shifting audience needs and expectations. This project is critical to launching the Mohonk Preserve on a well-aimed trajectory into its second fifty years of operations by its golden anniversary in 2013. Programs in field research, environmental education, land protection, and land stewardship round out an integrated strategy designed to ensure that this unique area remains a haven for wildlife, a living museum, and a sanctuary for people in nature."
Research Foundation of the State University of New York,CM-00-08-0049-08,2008,"$143,449.00",,Congressionally-Directed Grants,,New Paltz,NY,,
Huguenot Historical Society,MA-01-05-0016-05,2005,"$83,283.00",,Museums for America,Sustaining Cultural Heritage,New Paltz,NY,,"The Huguenot Historical Society (HHS) will use its IMF grant to meet its primary strategic goals in collections management. This two-year project aims to catalog and rehouse the entire object and archival collections, including thousands of textile objects, by 2006. The project will also translate and catalog hundreds of Dutch-American documents, as well as catalog and index of HHS's Bible records, pamphlet collection, and sheet music collection."
Mohonk Preserve,MA-02-04-0356-04,2004,"$98,244.00",,Museums for America,Supporting Lifelong Learning,New Paltz,NY,,"Purpose: Supporting Lifelong Learning  The Mohonk Preserve is committed to protecting the Shawangunk Ridge for the benefit of visitors of all ages and abilities. Its goals are to reach out and serve more diverse and underserved populations, including children with disabilities, who are underrepresented among the preserve's 150,000 annual visitors. This three-year grant will support the preserve's NatureAccess special education program, designed to serve K through 6 special education students in the region. NatureAccess will provide hands-on experiences with wildlife to stimulate individual growth and learning. Through the field study component, the preserve currently provides overland wheelchairs, modifies trail routes, and adapts the curriculum so mainstreamed students can fully participate. NatureAccess/Field Studies will serve 270 K through 6 students over the grant term. The program will also expand to include a new in-school outreach component (NatureAccess/Outreach) to deliver a program on wetlands ecology and wildlife to 1,236 third through fifth grade special education students in both self-contained and inclusion classrooms. Unlike traditional outreach modules, in which each student might receive less than one contact hour from a professional educator, this project will allow each student to receive between 11 and 13 contact hours from classroom and preserve educators."
Huguenot Historical Society,IC-01-02-0154-02,2002,"$12,400.00",,,Survey of Collections,New Paltz,NY,,To conduct a general conservation survey of the Society's archival and three-dimensional collections and its buildings to in order to provide a comprehensive assessment of the entire collection.
Mohonk Preserve,IG-00-01-0435-01,2001,"$112,500.00",,General Operating Support,,New Paltz,NY,,
Mohonk Preserve,IG-00-99-0959-99,1999,"$112,500.00",,General Operating Support,,New Paltz,NY,,
Huguenot Historical Society,IM-02-99-0101-99,1999,"$1,775.00",,Museum Assessment Program,Collections Management,New Paltz,NY,,
Mohonk Preserve,IM-03-98-0074-98,1998,"$2,970.00",,Museum Assessment Program,Public Dimension,New Paltz,NY,,
"College Art Gallery, State University College",IA-00-97-0129-97,1997,"$3,020.00",,Conservation Assessment Program,,New Paltz,NY,,
Iona College,CL-00-05-0009-05,2005,"$74,400.00",,Congressionally-Directed Grants,,New Rochelle,NY,,
New York University,LG-87-18-0062-18,2018,"$49,557.00",Library,National Leadership Grants for Libraries,Curating Collections - Planning Grant,New York,NY,,"New York University Libraries, in collaboration with the NYU Arthur L. Carter Journalism Institute, the NYU Center for Data Science, and ProPublica, will develop a prototype for a software tool to capture and preserve data journalism projects in a scholarly archive. The prototype will add to an existing open source computational reproducibility tool, ReproZip. The proposed extension will be designed to quickly and easily pack and unpack dynamic websites, enabling the first large-scale collection, preservation, and discovery of complex interactive websites. Storytelling with data has revolutionized modern reporting, and the dramatic increase in the production and popularity of data journalism projects can be seen both at news startups, as well as at legacy news organizations. These stories are an important part of the historical record, yet due to their technological complexity they cannot currently be archived or preserved at libraries, newsrooms, or cultural institutions. As such, they are disappearing. This project will alleviate some of this problem."
Ithaka Harbors Inc.,LG-96-18-0198-18,2018,"$449,867.00",Library,National Leadership Grants for Libraries,Community Anchors -Research,New York,NY,,"Ithaka S+R will conduct research to help community college library leaders, chief academic officers, and other college leaders institutionalize data-driven research findings on the needs of community college students and the barriers students face when attempting to access library and other academic support services. The goal of this project is to help community colleges incorporate findings on the needs of community college students into their institutional practices. This effort to engage with research to institutionalize data-driven knowledge has the potential to help community colleges organize themselves administratively in order to provide the highest level of support to their students. To this end, this project will produce several outputs, including four major publications, interim public reports, blogging, presentations, social media engagement, and an interactive workshop."
New-York Historical Society,MA-40-18-0524-18,2018,"$235,412.00",Museum,Museums Empowered,MFA-Museums Empowered,New York,NY,,"The New York Historical Society will equip staff members with the skills needed to more fully integrate digital content and high-tech learning tools in the institution's education programs. While the museum has systematically digitized its collections and content management systems for use by curators and researchers, its digital assets are not maximized to support the full range of educational programming. A staff digital initiatives team will participate in special training to improve their understanding of and facility with content management systems, digital collections, and creative hardware and software. Through regular interdepartmental meetings, the museum will foster a culture of collaboration through peer-to-peer training sessions. These trainings will be translated into increased education program capacity, as members from different departments share their knowledge with student audiences. The museum will post a project evaluation on its website and produce a white paper, setting forth best practices for the development of new technology-driven offerings in museums."
New Knowledge Organization,MG-50-18-0044-18,2018,"$80,166.00",Museum,National Leadership Grants for Museums,NLGMuseums-Diversity & Inclusion,New York,NY,,"The New Knowledge Organization will conduct a qualitative meta-analysis of Master's and Doctoral theses from museum studies programs that address issues of personal and group identity and representation in museums, followed by interviews with a sample of the authors.  A team of experienced researchers will aggregate the findings to develop a set of publication briefs to inform an edited volume of chapters written by collaborative teams drawn from the pool of thesis authors. The project team will upload a publicly accessible bibliography of all the works, and publish a glossary of terms used in this emerging area of research. The intended outcome of the work is to increase museum professionals' access and use of research on identity and representation. This will benefit the museum field by helping museums engage with communities and provide inclusive services to people of diverse geographic, cultural, and socioeconomic backgrounds."
American Museum of Natural History,MG-60-18-0031-18,2018,"$702,741.00",Museum,National Leadership Grants for Museums,NLGMuseums-Collections Care & Access,New York,NY,,"The American Museum of Natural History will partner with Yale Institute for the Preservation of Cultural Heritage and UCLA/Getty Master's Program in the Conservation of Archaeological and Ethnographic Materials to conduct conservation research on cleaning taxidermy feathers and preserving and restoring color in taxidermy feathers and fur. The project team will investigate the impact of cleaning methods and materials on the preservation of feathers; the potential for ultraviolet absorbers and hindered amine light stabilizers to preserve natural and restored color to fur and feathers; and application methods and long-term stability of colorants for restoring faded feathers. An extensive training, education, and resource effort will ensure dissemination of best practices for the care and conservation of historic taxidermy. This will benefit museums and other institutions at risk of losing pieces of their collections; conservators, taxidermists, and professionals charged with the care of historic taxidermy; and museum visitors, including artists and students who rely on anatomically correct taxidermy to learn about biology."
New-York Historical Society,MA-10-18-0181-18,2018,"$250,000.00",Museum,Museums for America,MFA-Learning  Experiences,New York,NY,,"The New-York Historical Society will develop and disseminate its free online women's history curriculum, ""Women and the American Story."" The museum will research, design, write, and disseminate the remaining six units, resulting in a complete, nine-unit digital curriculum resource. Presented on an interactive website, each unit includes an introductory essay; high-resolution images or 3D renderings of 10-15 primary images, documents, or artifacts from the museum's collection; resource descriptions providing historical context; and biographical portraits of fascinating individuals. Following the online posting of each unit, the museum will pilot and assess its effectiveness with its network of teachers, promote it nationally, host teacher trainings at partner museums and school districts around the country, and offer distance trainings for teachers via webinars. With a goal of reaching more than 5,000 educators nationwide, the project is intended to meet the need for primary source material and interpretive content to support the integration of women's experiences into classroom instruction."
Juliette Gordon Low Birthplace,MA-20-18-0365-18,2018,"$177,914.00",Museum,Museums for America,MFA-Community Anchors,New York,NY,,"The Juliette Gordon Low Birthplace will build the capacity of its staff to offer trainings on working with people with disabilities, sparking an ongoing conversation about disability history, culture, rights, and advocacy within its local community and the national Girl Scouts movement. The museum will increase its accessibility and create an access improvement plan by commissioning a professional assessment of its physical spaces, programs, policies, and procedures by the Institute for Human Centered Design. The Institute will also develop and implement training for museum staff, which will be opened to other external audiences such as museum professionals, teachers, social workers, and the tourism industry, serving a total of 150-200 people. Other project activities include the presentation of eight public programs on disability-related topics in partnership with Georgia Public Broadcasting, and the creation of an ongoing program on disability awareness to be presented to groups visiting the museum."
Museum of the City of New York,MA-30-18-0151-18,2018,"$158,274.00",Museum,Museums for America,MFA-Collections,New York,NY,,"The Museum of the City of New York will increase public access to and enhance the stewardship of its theatrical design renderings. The museum will process, digitize, and catalog approximately 8,000 original costume and set renderings from more than 410 New York City theatrical productions, and make them publicly available through its online collections portal. Creating online access to the previously unknown material will provide a user-friendly visual resource for the museum's own staff members, performing arts scholars, theater professionals, and theater enthusiasts across the nation, contributing to scholarship on the performing arts. The project will also create a free resource for theater educators working in elementary, middle, and high schools with the potential for informing performing arts curriculum at the grade school level."
Museum of the City of New York,MA-30-18-0153-18,2018,"$185,423.00",Museum,Museums for America,MFA-Collections,New York,NY,,"The Museum of the City of New York will increase online access to its LOOK Magazine collection for the benefit of scholars, curators, educators, and general history enthusiasts. The project will continue an ongoing endeavor to digitize the LOOK collection by focusing on the comprehensive cataloging of the works of staff photographer John Vachon (1914-1975) and creating access through the museum's online collections portal to an estimated 11,100 digital images from 54 of his assignments for the magazine. The collection exists primarily as negatives, a format that renders the material nearly inaccessible for researchers and curators alike. Project activities will include a symposium for colleagues in the field, where the museum will share its methodology, process, and workflow for implementing large-scale digitization projects."
American Museum of Natural History,MA-30-18-0471-18,2018,"$198,653.00",Museum,Museums for America,MFA-Collections,New York,NY,,"The American Museum of Natural History will develop an updated collections database for its Division of Anthropology collection to increase accessibility and expand use by researchers, lay audiences, museum staff, individuals at other institutions, and members of communities of origin. Following a discovery phase to identify a full list of functionality needs for the database, the museum will work in close partnership with an open source software development firm to design and develop a simplified database infrastructure to optimize functionality; increase cross-referential searchability; and enable staff to easily manage content. The project team, working with a group of experts in the field, will conduct monitoring and prototyping to evaluate progress and the new system's effectiveness, allowing improvements to be made throughout every phase of the project. The project will revitalize the stewardship of the collection while providing global access for a diverse array of audiences."
Center for Book Arts,MA-31-18-0032-18,2018,"$25,000.00",Museum,Museums for America,MFA-Collections 25K,New York,NY,,"The Center for Book Arts will undertake the cataloging of its collection of prints of artist books and related art to improve their preservation and accessibility to researchers, scholars, artists, and students. The project addresses a problem of access and control first identified by a formal collection assessment and represents a step in the museum's longer-term process of organizing, cataloging, preserving, rehousing, and digitizing its permanent collection. The museum will hire a part-time prints specialist to catalog and digitize the prints, rehouse them in acid-free enclosures, and make the print records freely available online. The museum will purchase archival supplies, make upgrades to the collections management software, and replace obsolete equipment."
The National Jazz Museum in Harlem,MH-00-18-0029-18,2018,,,Museum Grants for African American History and Culture,,New York,NY,,"The National Jazz Museum in Harlem will catalog, reformat, and create metadata for its Harlem Speaks oral history videos, making them available for viewing to a worldwide audience. The professionally recorded videos include historic conversations with legendary figures in jazz. Working with a team of staff members and a graduate-level college intern, a moving image archivist will help the museum develop proper workflow, formatting, indexing, metadata standards, and long-term storage and maintenance guidelines. The team will convert 208 unedited videos to a non-proprietary, lossless digital format, and make them accessible through the museum's website and interactive touchscreens at its Visitors Center. A noted videographer will lend expertise to edit approximately 25 of the Harlem Speaks videos, prioritizing those in the worst condition and oldest formats, followed by those expected to attract the most public interest. The project will enable people of all ages and backgrounds to develop a deeper understanding of the musical and cultural impact of jazz."
Poets House,LG-95-17-0058-17,2017,"$249,619.00",Library,National Leadership Grants for Libraries,,New York,NY,,"Poets House will develop an interdisciplinary public programing model that leverages partnerships between public libraries and natural history museums, with guidance from poets-in-residence, to support community wide interdisciplinary STEM/humanities learning opportunities. Building on lessons learned during a previously funded planning grant, Poets House will pilot the model in Wisconsin with Milwaukee Public Library and Milwaukee Public Museum and in Utah with Salt Lake City Public Library and Natural History Museum of Utah. Local partnerships in both Milwaukee and Salt Lake City will be rigorously evaluated so that other communities can adopt this model of collaboration."
The National Jazz Museum in Harlem,MH-00-17-0016-17,2017,"$24,882.00",Museum,Museum Grants for African American History and Culture,,New York,NY,,"The National Jazz Museum in Harlem will work with an experienced museum education consultant to develop five new K-12 education programs. These programs will complement the museum's two existing K-12 education programs and provide sequential, differentiated instruction for thousands of students who participate in annual fieldtrips to its visitors center in Harlem. In addition to developing curricula for each program, the museum will create learning kits, pre-visit lesson plans and listening guides for teachers; online content for its website; and teaching notes and demonstration videos that will train teaching artists to lead these programs. Through these new education programs, students will develop a deeper understanding of the musical and cultural impact of jazz in Harlem and beyond."
"Rhizome Communications, Inc.",LG-73-17-0119-17,2017,"$100,000.00",Library,National Leadership Grants for Libraries,National Digital Platform - National Forum,New York,NY,,"Rhizome, in collaboration with the University of California at Riverside Library (UCR), the Maryland Institute for Technology in the Humanities (MITH), and the Documenting the Now project, will design and host a National Forum on Ethics in Web Archiving. The three-day meeting will convene many stakeholder groups, including representatives from libraries, archives, and museums, socially engaged artists, activists, and members of community organizations, and interdisciplinary practitioners such as social media researchers and lawyers. Participants will discuss the ethical challenges, both technical and social, involved in archiving the web and social media. Following the forum, a best practices white paper and proceedings will be published."
Trustees of Columbia University in the City of New York,LG-89-17-0218-17,2017,"$20,422.00",Library,National Leadership Grants for Libraries,Curating Collections - Sparks,New York,NY,,"A team from the Media Center for Art History at Columbia University will apply image processing, deep learning, and optical character recognition (OCR) techniques to investigate methods for automated processing and data extraction from digitized 35mm slides to support archival discovery. The 35mm slide library, once the cornerstone of teaching art history at all levels, now languishes in storage, with valuable image resources trapped inside its drawers. This project aims to make these legacy collections accessible again, with the potential to increase available teaching resources, make significant images available for study, and to preserve the institutional memory and pedagogical history retained in these collections. They hope to discover techniques that will allow for less time-consuming and more cost-effective processing of legacy slide collections, enabling libraries across the country to partially automate the cataloging and identification of significant images."
New York University,RE-95-17-0076-17,2017,"$249,504.00",Library,Laura Bush 21st Century Librarian Program,L21-Community Anchors Project,New York,NY,,"New York University, in partnership with the Library Freedom Project, will facilitate the use of practical privacy tools in libraries and their communities through the development of a privacy-focused train-the-trainer program for librarians, known as the Library Freedom Institute (LFI). The project team will construct an extensive curriculum and use it to train 40 geographically dispersed Privacy Advocates, who can then serve as nodes of expertise in their regions by conducting training workshops for community members and helping their own libraries become more privacy conscious. Over a six-month course, project staff and guest trainers will teach the Privacy Advocates how to lead privacy-focused computer classes. During a two-year project timeline, the project will plan and run a pilot iteration of the LFI, analyze it, make revisions to the curriculum, offer a full-scale LFI to a larger cohort of librarians, and evaluate the full program."
Mount Vernon Hotel Museum and Garden,MA-11-17-0139-17,2017,"$19,140.00",Museum,Museums for America,MFA-Learning Experiences 25K,New York,NY,,"The Mount Vernon Hotel Museum and Garden will implement a cultural arts pilot program featuring museum visits and classroom workshops for culturally underserved students from grades 4-6 in an economically depressed section of the Bronx, New York. The project will address the lack of arts teachers in local schools, the development of visual literacy, critical thinking skills, and historical empathy through the arts. The focal point of the project will be an intensive school-museum program serving an estimated 360 children. Museum staff, volunteers, and classroom teachers will participate in training prior to beginning the program. A culminating family day for parents, caregivers, and the students will provide an opportunity for students to display their art work produced during the project. An evaluation consultant will use surveys, interviews with teachers, and other tools to measure the project's success in achieving outcomes for students."
American Museum of Natural History,MA-30-17-0260-17,2017,"$499,525.00",Museum,Museums for America,MFA-Collections,New York,NY,,"The American Museum of Natural History will undertake the conservation of six monumental totem poles and carvings on display in its Hall of Northwest Coast Indians in connection with a planned renovation of the exhibit area. Four posts will be treated in their vertical installation positions, as they are attached to built-in elements of the hall construction. The two other objects will be rigged down from their current vertical installation for treatment in a horizontal position. IMLS funding will support two conservators working full-time for up to 18 months under staff supervision, necessary consultation fees, equipment and supplies, as well as conservation training for Native American interns. Treatment steps for all six objects will include dry surface cleaning and photo-documentation, coating removal, removal of old fills and structural repairs, fill replacement and inpainting, and final documentation of treatment. A viewing window will engage visitors in the conservation process, and lessons learned will be broadly disseminated during and after the project."
New York Metropolitan Reference and Research Library Agency,RE-43-16-0067-16,2016,"$100,000.00",Library,Laura Bush 21st Century Librarian Program,National Digital Platform,New York,NY,Digital Initiatives,"The Metropolitan New York Library Council (METRO), in partnership with a coalition of National Digital Stewardship Residency (NDSR) organizers and stakeholders, will hold a symposium focused on evaluating and sharing the work performed over the first four years of NDSR programs. The meeting aims to: discuss and create standardized guidelines based on the NDSR evaluation being undertaken by the Council on Library and Information Resources; expand the geographic reach of NDSR; foster a digital preservation community of practice; and raise awareness of the NDSR program. The symposium will be free and open to the public, and grant funding will support attendance by representatives of organizations that serve under-resourced areas. Following the symposium, agreed-upon NDSR standards and guidelines will be compiled into a handbook to encourage the development of future digital stewardship residency programs."
Rhizome,LG-70-16-0079-16,2016,"$169,970.00",Library,National Leadership Grants for Libraries,National Digital Platform,New York,NY,Digital Initiatives,"Rhizome, an international born-digital art organization, in partnership with Yale University and the University of Freiburg, will enhance a set of software tools connecting archives of digital artifacts and emulation frameworks. The project will greatly increase the viability of emulation as a preservation strategy by making environments of legacy software manageable for collection managers. This proposed project responds to the disparity between the proven viability of emulation as a digital preservation strategy and the practical needs of collection managers."
Jazz Museum in Harlem,MH-00-16-0014-16,2016,"$35,428.00",Museum,Museum Grants for African American History and Culture,,New York,NY,,"The National Jazz Museum in Harlem will create a customized digital asset management system and web interface design for managing the museum's digital assets and sharing the museum's curated digital content. The museum's digital assets include audio, video, photographs, manuscripts and sheet music. This system will enable on-site visitors to learn about and experience jazz and its rich history in Harlem by using new interactive touchscreens in the visitors center with curated digital content that complements the exhibition. The system will also provide a global audience with online access to the museum's collections via mobile and web applications. The digital content will significantly improve the museum experience for on-site and off-site visitors, enhancing their knowledge of jazz and its rich history in Harlem."
New York Public Library,RE-40-16-0158-16,2016,"$295,010.00",Library,Laura Bush 21st Century Librarian Program,Continuing Education,New York,NY,,"The New York Public Library will develop and deliver a blended learning early literacy staff training in partnership with the New York City Early Childhood Professional Development Institute at the City University of New York. Building on the existing early literacy expertise of children's librarians, the training will also help librarians learn from the research-based practices of early childhood educators. New York Public Library will develop four training modules: Foundational Training; Enhanced Storytimes; Family Literacy Workshops; and Daycare/Pre-K Support. The modules will be piloted with 150 New York Public Library staff and the refined curriculum and instructional materials will be disseminated nationally through a public-facing website and outreach for adaptation and use by other library systems."
Children's Museum of Manhattan,MA-10-16-0090-16,2016,"$149,549.00",Museum,Museums for America,MFA-Learning  Experiences,New York,NY,,"The Children's Museum of Manhattan will install a new exhibition and program series, ""Dance Portal,"" designed to extend and connect the four strategic focus areas outlined in the museum's long range plan: the arts and creativity, health, early childhood, and culture. ""The Dance Portal,"" an immersive interactive environment consisting of a vertical dome/panoramic screen programmed to feature videos of dance as it relates to art, creativity, culture, and health. The installation will be complemented by live performances and hands-on workshops featuring presentations by professional dancers, dance educators and cultural partners. Through these programs, the museum seeks to better serve its community by creating new interpretive programs and engaging learning experiences, and by providing high-quality, inclusive educational opportunities for families to learn about the city's vast cultural riches."
Museum of the City of New York,MA-10-16-0234-16,2016,"$149,829.00",Museum,Museums for America,MFA-Learning  Experiences,New York,NY,,"The Museum of the City of New York will develop, launch, promote, and evaluate education programs and materials for K-12 students and teachers for ""New York at Its Core,"" a major, long-term exhibition on New York City's 400-year history that will open in November 2016. The need to build the city's students' history knowledge and skills is great. One-third of the city's high school students fail to pass the U.S. History Regents, necessary for graduating from high school. The museum will create and launch education programs and materials for the exhibition that will include three 60-minute fieldtrips, one for each of the exhibition's three main galleries; a free online teacher resource guide, including lesson plans and pre- and post-visit activities; and professional development offerings for teachers, including lectures by leading historians on exhibition content."
"Intrepid Sea, Air & Space Museum",MA-10-16-0315-16,2016,"$150,000.00",Museum,Museums for America,MFA-Learning  Experiences,New York,NY,,"The Intrepid Sea, Air & Space Museum will create dynamic interpretation and educational content around the history of Growler - the museum's Cold War era submarine. The museum will hire a guest historian to identify compelling, engaging and effective curatorial approaches to the exhibition, driving the development of media content and producing a collection of oral histories. Twenty video-based oral history interviews will be conducted with former crew members. A media producer will be hired to produce exhibition and social media content adapted from the oral histories. These media elements, both video- and audio- based, will be available for immediate use in public and educational programs, exhibits, web-based and digital platforms. On-going formative assessments and summative evaluation will provide visitor feedback for consideration during the exhibition development phases and measure visitor engagement, interest, and understanding. "
Queens Museum of Art,MA-20-16-0009-16,2016,"$150,000.00",Museum,Museums for America,MFA-Community Anchors,New York,NY,,"The Queens Museum of Art will develop Corona, Queens: A Dignified Neighborhood for Immigrants, a project aimed at creating new opportunities through an arts and cultural lens for civic engagement by equipping emerging immigrant neighborhood leaders with necessary tools for community engagement. The project positions Corona as a model neighborhood where residents' concerns are addressed through education, dialog, and institutional support. The museum will provide non-English speaking community members with tools to create a beautiful neighborhood, and the advocacy skills to enable them to create a better city environment. Activities include facilitating improvements to Flushing Meadows Corona Park; building local leadership in the community through the museum's arts and education center; and continuing civic engagement in Corona through participation in active design improvements and through New York City's participatory budgeting process. "
New-York Historical Society,MA-30-16-0418-16,2016,"$150,000.00",Museum,Museums for America,MFA-Collections,New York,NY,,"The New-York Historical Society (N-YHS) will process, catalog, and digitize its recently acquired 11,000 item Jerni Collection of Antique Toys and Trains, an important collection of classic model-railroad artistry. N-YHS will unpack, catalog, digitize, and rehouse the collection; make images freely available through an online gallery; and move the objects from temporary storage to a new offsite storage facility. The project will increase intellectual control, improve stewardship, and provide greater access to the collection. It will also make it easier for the museum to include objects from the collection in exhibitions, education programs, and curriculum, thus benefitting N-YHS curators, registrars, conservators, and exhibition designers, as well as researchers, students, and the general public. "
American Museum of Natural History,MA-30-16-0439-16,2016,"$150,000.00",Museum,Museums for America,MFA-Collections,New York,NY,,"The American Museum of Natural History will rehouse, conserve, image, and catalog their dry coral collection which includes 79 specimens from six protected species, including threatened elkhorn and staghorn corals. Project activities will include rehousing specimens in conservation-grade storage materials, preventing future deterioration; cleaning of specimens that are covered in dust, which can attract pests and abrade specimens and imaging and cataloging the collection in the museum's database with external search capability, allowing research access both online and by providing the means to monitor specimen loans. Progress and results will be disseminated widely at professional collection care and digitization conferences, and published in relevant journals. "
American Folk Art Museum,MA-30-16-0442-16,2016,"$128,934.00",Museum,Museums for America,MFA-Collections,New York,NY,,"The American Folk Art Museum will perform a comprehensive, item-by-item inventory review of each object in its 8,000-item permanent collection. The collection includes objects from the 18th century to the present, including works from traditional folk arts and contemporary self-taught artists. In addition to a basic cataloging, the museum registrar will perform a brief condition assessment of each object and make storage improvement recommendations. The project will enable the museum to prioritize objects that require conservation, identify objects that require improved conditions to prevent or mitigate deterioration, and document the location and movement history of each object for research and security purposes. The project will also enable the museum to audit and improve its electronic data, making the collection more accessible for curators, scholars, educators, and researchers. "
The Cooper Union,MA-30-16-0510-16,2016,"$149,736.00",Museum,Museums for America,MFA-Collections,New York,NY,,"The Cooper Union will catalog, rehouse, and digitize original photographic records documenting nearly 3,000 student design projects dating from the 1930s to 2006. This core collection documents the thinking of architectural education leaders behind the major shifts in architectural teaching in the 20th and 21st centuries. The collection is difficult to access, resulting in long wait times and exposing the materials to repeated handling. The project will produce approximately 24,000 digital master files with accompanying metadata of drawings, models, and ephemera; digital master files with accompanying metadata of 320 audio cassettes and two linear feet of design studio texts; fully processed, archivally housed and cataloged collection records; a searchable, web-based public Collective Access platform populated with all permissioned, digitized material and item-level metadata, descriptions, and contextual information; a folder-level EAD finding aid and a collections level MARC21 record that are available to researchers via well-established bibliographic utilities; and a clearly defined long-term sustainability plan. "
Lower East Side Tenement Museum,MG-10-16-0082-16,2016,"$499,894.00",,National Leadership Grants for Museums,Learning Experiences,New York,NY,,"The Lower East Side Tenement Museum will scale up its experimental ""Your Story, Our Stories"" website into a national program that asks visitors to upload images of, and extended captions for, objects that reveal elements of their personal and family immigration narratives. Immigration scholars and museum curators from across several partner sites will engage in online conversation with website visitors, offering multiple academic perspectives on immigration as a contemporary and historical phenomenon. The museum will integrate a new content management system into its existing website, incorporate a crowd-sourced mapping function and a digital repository, collect new stories at partner sites, and create dynamic programming that draws upon the growing website content. The project will help museums better understand how they can present and interpret authentic narratives to further the national conversation on immigration."
Metropolitan Museum of Art,MG-30-16-0083-16,2016,"$476,028.00",,National Leadership Grants for Museums,Collections Stewardship,New York,NY,,"The Metropolitan Museum of Art will address widespread collections care needs through a project that will develop a new test for the assessment of construction, storage, and display materials for use with organic objects. The environment in which objects are stored and displayed by institutions affects the condition and longevity of these objects. It is important that materials in direct contact with an object be adequately evaluated to ensure they will not be damaging; however, most museums, libraries, and archives do not have the resources necessary to perform such evaluations, and additionally, there is no accurate tool for assessing materials used with organic objects. Partnering with museums across the country, the Metropolitan Museum will develop and perform a test and publish the data online for use by collections care professionals, nationally and worldwide. Additionally, the museum will develop a collaborative online portal to gather suggestions and host conversations on topics such as future materials to be evaluated."
The Schomburg Center for Research in Black Culture,AL-00-15-0005-15,2015,"$5,000.00",,National Medal for Museum and Library Service,,New York,NY,Community,"The Schomburg Center is one of the world's leading research facilities devoted to the preservation of materials on the global African and African diasporan experiences. A focal point of Harlem's cultural life, the Center also functions as the national research library in the field, providing free access to its wide-ranging noncirculating collections. It also sponsors programs and events that illuminate and illustrate the richness of black history and culture. The Schomburg Center contains over 10 million items and provides services and programs for constituents from the United States and abroad. In 2015, the Schomburg Center will be celebrating its 90th anniversary year."
